V,1001,1
V,1034,1
C,"10065",10065
V,1034,1
C,"10066",10066
V,1008,1
V,1034,1
C,"10067",10067
V,1004,1
V,1034,1
C,"10068",10068
V,1036,1
V,1077,1
V,1040,1
C,"10069",10069
V,1032,1
C,"10070",10070
V,1008,1
V,1009,1
V,1058,1
V,1017,1
V,1018,1
V,1042,1
V,1021,1
C,"10071",10071
V,1008,1
V,1009,1
V,1001,1
V,1034,1
C,"10072",10072
V,1140,1
V,1008,1
V,1009,1
V,1034,1
C,"10073",10073
V,1034,1
V,1004,1
C,"10074",10074
V,1008,1
V,1034,1
C,"10075",10075
V,1008,1
V,1038,1
V,1026,1
V,1041,1
V,1034,1
V,1018,1
C,"10076",10076
V,1032,1
C,"10077",10077
V,1008,1
V,1004,1
V,1034,1
C,"10078",10078
V,1008,1
C,"10079",10079
V,1025,1
C,"10080",10080
V,1006,1
C,"10081",10081
V,1119,1
V,1008,1
V,1030,1
V,1024,1
V,1018,1
C,"10082",10082
V,1046,1
V,1001,1
C,"10083",10083
V,1004,1
C,"10084",10084
V,1004,1
C,"10085",10085
V,1001,1
V,1003,1
V,1018,1
V,1184,1
C,"10086",10086
V,1001,1
V,1003,1
V,1018,1
C,"10087",10087
V,1004,1
V,1091,1
C,"10088",10088
V,1008,1
V,1020,1
V,1017,1
V,1004,1
V,1018,1
C,"10089",10089
V,1046,1
V,1003,1
V,1001,1
V,1034,1
V,1018,1
C,"10090",10090
V,1075,1
C,"10091",10091
V,1034,1
C,"10092",10092
V,1137,1
V,1017,1
V,1035,1
V,1008,1
V,1046,1
V,1001,1
V,1003,1
V,1034,1
C,"10093",10093
V,1008,1
V,1034,1
C,"10094",10094
V,1008,1
V,1032,1
V,1004,1
C,"10095",10095
V,1008,1
C,"10096",10096
V,1025,1
V,1081,1
V,1008,1
V,1026,1
V,1001,1
V,1003,1
V,1034,1
V,1083,1
C,"10097",10097
V,1008,1
V,1003,1
V,1001,1
V,1034,1
C,"10098",10098
V,1165,1
C,"10099",10099
V,1171,1
V,1020,1
V,1026,1
V,1017,1
C,"10100",10100
V,1020,1
V,1021,1
C,"10101",10101
V,1008,1
V,1034,1
C,"10102",10102
V,1010,1
V,1171,1
V,1017,1
V,1042,1
C,"10103",10103
V,1076,1
V,1017,1
V,1004,1
V,1018,1
V,1074,1
V,1009,1
V,1001,1
V,1002,1
C,"10104",10104
V,1008,1
V,1054,1
V,1017,1
V,1066,1
C,"10105",10105
V,1020,1
V,1082,1
V,1017,1
V,1004,1
V,1169,1
V,1008,1
V,1003,1
V,1001,1
V,1034,1
V,1083,1
C,"10106",10106
V,1008,1
V,1009,1
V,1034,1
C,"10107",10107
V,1008,1
V,1034,1
C,"10108",10108
V,1008,1
V,1018,1
V,1034,1
V,1004,1
C,"10109",10109
V,1020,1
C,"10110",10110
V,1008,1
V,1034,1
V,1004,1
C,"10111",10111
V,1034,1
C,"10112",10112
V,1020,1
V,1038,1
V,1053,1
C,"10113",10113
V,1019,1
V,1057,1
C,"10114",10114
V,1084,1
V,1158,1
C,"10115",10115
V,1009,1
C,"10116",10116
V,1034,1
C,"10117",10117
V,1034,1
C,"10118",10118
V,1030,1
V,1017,1
V,1004,1
V,1018,1
C,"10119",10119
V,1008,1
V,1030,1
V,1024,1
C,"10120",10120
V,1032,1
C,"10121",10121
V,1008,1
V,1058,1
V,1102,1
V,1018,1
C,"10122",10122
V,1076,1
V,1001,1
V,1003,1
V,1018,1
C,"10123",10123
V,1008,1
V,1009,1
C,"10124",10124
V,1034,1
C,"10125",10125
V,1008,1
V,1016,1
C,"10126",10126
V,1073,1
C,"10127",10127
V,1034,1
C,"10128",10128
V,1032,1
V,1004,1
C,"10129",10129
V,1008,1
V,1049,1
V,1041,1
V,1003,1
V,1001,1
V,1004,1
V,1018,1
C,"10130",10130
V,1032,1
C,"10131",10131
V,1160,1
V,1203,1
C,"10132",10132
V,1070,1
C,"10133",10133
V,1190,1
V,1000,1
V,1008,1
V,1025,1
V,1027,1
V,1125,1
V,1038,1
V,1026,1
V,1070,1
V,1041,1
V,1042,1
V,1034,1
C,"10134",10134
V,1008,1
V,1052,1
V,1060,1
V,1018,1
C,"10135",10135
V,1017,1
C,"10136",10136
V,1029,1
C,"10137",10137
V,1025,1
V,1026,1
C,"10138",10138
V,1008,1
V,1034,1
C,"10139",10139
V,1008,1
V,1009,1
V,1001,1
C,"10140",10140
V,1004,1
C,"10141",10141
V,1061,1
C,"10142",10142
V,1008,1
V,1004,1
C,"10143",10143
V,1008,1
V,1034,1
C,"10144",10144
V,1044,1
C,"10145",10145
V,1008,1
V,1001,1
V,1034,1
C,"10146",10146
V,1008,1
V,1017,1
V,1053,1
V,1021,1
C,"10147",10147
V,1007,1
C,"10148",10148
V,1008,1
V,1020,1
V,1009,1
V,1003,1
V,1001,1
V,1091,1
V,1018,1
V,1167,1
C,"10149",10149
V,1004,1
C,"10150",10150
V,1025,1
C,"10151",10151
V,1070,1
V,1004,1
V,1036,1
V,1008,1
V,1027,1
V,1126,1
V,1125,1
V,1038,1
V,1031,1
V,1026,1
V,1041,1
V,1001,1
V,1034,1
C,"10152",10152
V,1004,1
C,"10153",10153
V,1008,1
V,1034,1
C,"10154",10154
V,1118,1
V,1017,1
V,1096,1
C,"10155",10155
V,1010,1
C,"10156",10156
V,1069,1
V,1038,1
V,1026,1
C,"10157",10157
V,1001,1
C,"10158",10158
V,1188,1
C,"10159",10159
V,1295,1
C,"10160",10160
V,1003,1
V,1004,1
V,1028,1
C,"10161",10161
V,1025,1
C,"10162",10162
V,1069,1
C,"10163",10163
V,1008,1
V,1188,1
V,1009,1
V,1004,1
V,1034,1
C,"10164",10164
V,1123,1
V,1009,1
V,1052,1
C,"10165",10165
V,1004,1
V,1034,1
C,"10166",10166
V,1030,1
V,1004,1
C,"10167",10167
V,1008,1
V,1009,1
C,"10168",10168
V,1208,1
V,1010,1
V,1093,1
V,1017,1
C,"10169",10169
V,1065,1
C,"10170",10170
V,1008,1
V,1125,1
C,"10171",10171
V,1040,1
V,1052,1
C,"10172",10172
V,1008,1
V,1004,1
V,1034,1
C,"10173",10173
V,1008,1
V,1034,1
C,"10174",10174
V,1119,1
V,1008,1
V,1034,1
V,1018,1
V,1004,1
C,"10175",10175
V,1020,1
C,"10176",10176
V,1029,1
V,1048,1
V,1043,1
C,"10177",10177
V,1034,1
C,"10178",10178
V,1025,1
V,1026,1
C,"10179",10179
V,1008,1
V,1018,1
C,"10180",10180
V,1008,1
V,1031,1
V,1057,1
C,"10181",10181
V,1112,1
C,"10182",10182
V,1008,1
V,1035,1
V,1009,1
V,1017,1
V,1001,1
V,1114,1
V,1018,1
V,1034,1
C,"10183",10183
V,1025,1
V,1073,1
C,"10184",10184
V,1038,1
V,1026,1
V,1004,1
C,"10185",10185
V,1004,1
C,"10186",10186
V,1017,1
V,1004,1
C,"10187",10187
V,1045,1
V,1008,1
V,1017,1
V,1034,1
V,1004,1
C,"10188",10188
V,1009,1
V,1041,1
C,"10189",10189
V,1183,1
C,"10190",10190
V,1025,1
V,1022,1
V,1027,1
V,1038,1
V,1026,1
V,1070,1
V,1041,1
C,"10191",10191
V,1008,1
V,1034,1
C,"10192",10192
V,1008,1
V,1045,1
C,"10193",10193
V,1025,1
V,1017,1
V,1063,1
V,1024,1
V,1004,1
V,1008,1
V,1009,1
V,1026,1
V,1034,1
C,"10194",10194
V,1008,1
V,1039,1
V,1017,1
V,1034,1
C,"10195",10195
V,1109,1
C,"10196",10196
V,1008,1
V,1158,1
V,1009,1
C,"10197",10197
V,1034,1
C,"10198",10198
V,1007,1
V,1003,1
V,1004,1
C,"10199",10199
V,1095,1
V,1032,1
C,"10200",10200
V,1008,1
C,"10201",10201
V,1008,1
V,1017,1
V,1034,1
C,"10202",10202
V,1222,1
V,1040,1
V,1017,1
V,1100,1
V,1004,1
V,1002,1
V,1034,1
C,"10203",10203
V,1123,1
V,1017,1
V,1004,1
V,1034,1
C,"10204",10204
V,1035,1
V,1060,1
V,1001,1
V,1003,1
T,pause,pause,pause,pause
V,1002,1
V,1018,1
C,"10205",10205
V,1063,1
V,1004,1
C,"10206",10206
V,1008,1
V,1017,1
V,1040,1
V,1116,1
C,"10207",10207
V,1008,1
V,1004,1
C,"10208",10208
V,1055,1
V,1017,1
V,1002,1
C,"10209",10209
V,1008,1
V,1034,1
C,"10210",10210
V,1025,1
V,1045,1
V,1058,1
V,1017,1
V,1004,1
V,1000,1
V,1046,1
V,1026,1
V,1032,1
V,1001,1
V,1002,1
V,1053,1
V,1034,1
C,"10211",10211
V,1075,1
C,"10212",10212
V,1008,1
V,1009,1
C,"10213",10213
V,1045,1
V,1008,1
C,"10214",10214
V,1037,1
V,1009,1
V,1017,1
C,"10215",10215
V,1008,1
V,1160,1
V,1003,1
V,1004,1
V,1018,1
V,1231,1
C,"10216",10216
V,1165,1
C,"10217",10217
V,1010,1
V,1017,1
V,1003,1
V,1001,1
V,1013,1
V,1002,1
C,"10218",10218
V,1295,1
V,1004,1
C,"10219",10219
V,1119,1
V,1008,1
V,1241,1
C,"10220",10220
V,1008,1
V,1007,1
V,1179,1
V,1034,1
C,"10221",10221
V,1123,1
V,1007,1
C,"10222",10222
V,1008,1
V,1065,1
V,1038,1
V,1026,1
V,1042,1
V,1053,1
V,1034,1
C,"10223",10223
V,1008,1
V,1034,1
C,"10224",10224
V,1008,1
V,1076,1
V,1003,1
V,1018,1
C,"10225",10225
V,1004,1
C,"10226",10226
V,1034,1
C,"10227",10227
V,1008,1
V,1017,1
V,1076,1
V,1003,1
V,1001,1
V,1018,1
V,1004,1
C,"10228",10228
V,1001,1
C,"10229",10229
V,1008,1
V,1007,1
C,"10230",10230
V,1008,1
V,1034,1
C,"10231",10231
V,1158,1
C,"10232",10232
V,1000,1
V,1001,1
V,1018,1
V,1004,1
V,1034,1
C,"10233",10233
V,1004,1
C,"10234",10234
V,1004,1
V,1044,1
C,"10235",10235
V,1064,1
V,1026,1
C,"10236",10236
V,1034,1
V,1004,1
C,"10237",10237
V,1119,1
V,1030,1
V,1017,1
V,1004,1
V,1075,1
V,1018,1
